k,perturbation_plot,broad_cluster
20,ACTB,0
20,ATP2A2,0
20,C17orf58,0
20,CNOT3,0
20,CSE1L,0
20,CYS1,0
20,DDX46,0
20,DLD,0
20,DNMT1,0
20,EEF2,0
20,EIF1,0
20,EIF2B2,0
20,EIF2B5,0
20,GFM1,0
20,HSPD1,0
20,INO80B,0
20,INTS8,0
20,JAZF1,0
20,MAGOH,0
20,MCMBP,0
20,MED19,0
20,MRPL16,0
20,MRPL19,0
20,MRPL24,0
20,MRPL27,0
20,MRPL35,0
20,MRPL36,0
20,MRPL39,0
20,MRPL4,0
20,NFRKB,0
20,NUP107,0
20,OGFOD1,0
20,PSMB5,0
20,PTMA,0
20,RAC3,0
20,RGPD6,0
20,RPL41,0
20,SART3,0
20,SF3A2,0
20,SIN3A,0
20,SMG5,0
20,SRP68,0
20,SRP72,0
20,TARDBP,0
20,THAP1,0
20,TRNT1,0
20,TSR1,0
20,UPF2,0
20,UXS1,0
20,YEATS4,0
20,ALG14,1
20,ANKRD11,1
20,CIAPIN1,1
20,CLASRP,1
20,CPSF3,1
20,CSNK2B,1
20,E4F1,1
20,EIF2B1,1
20,EXOSC2,1
20,EXOSC3,1
20,GPS1,1
20,GRB2,1
20,GRSF1,1
20,HNRNPL,1
20,HSD17B10,1
20,HSP90B1,1
20,HSPA8,1
20,ISCA2,1
20,MRPL34,1
20,MRPL38,1
20,MRPL54,1
20,MRPS27,1
20,MRPS28,1
20,MRPS35,1
20,MVK,1
20,NUDCD3,1
20,PABPN1,1
20,PAXBP1,1
20,PHAX,1
20,PMPCB,1
20,PSMA4,1
20,PSMG3,1
20,RABGGTA,1
20,RBMX2,1
20,RSL1D1,1
20,SETDB1,1
20,SLC39A7,1
20,SPCS3,1
20,SSU72,1
20,TARS2,1
20,TFAM,1
20,TPT1,1
20,TTI1,1
20,UBA2,1
20,WTAP,1
20,YEATS2,1
20,ZBTB17,1
