source,target,distance,rank
EIF1,SIN3A,0.02451402115303536,1
EIF1,MCMBP,0.03042974107733476,2
EIF1,ACTB,0.030453391476074954,3
EIF1,SF3A2,0.030599868899895744,4
EIF1,RAC3,0.031202156607880838,5
EIF1,INO80B,0.03443557079955384,6
EIF1,JAZF1,0.03452813108439379,7
EIF1,MRPL36,0.034564866813369344,8
EIF1,MRPL4,0.03486605972302703,9
EIF1,MRPL35,0.036215064372968064,10
EIF1,PSMB5,0.03653719548360912,11
EIF1,NUP107,0.038797195556342645,12
EIF1,CLASRP,0.039314198846809645,13
EIF1,RGPD6,0.03939186077683754,14
EIF1,MAGOH,0.03972564709327342,15
PSMB5,SIN3A,0.024161826292119604,1
PSMB5,MCMBP,0.029189058178385907,2
PSMB5,JAZF1,0.0349112726542804,3
PSMB5,MRPL35,0.03552553934499458,4
PSMB5,ACTB,0.03604615477973416,5
PSMB5,EIF1,0.03653719548360912,6
PSMB5,INO80B,0.03662249752014812,7
PSMB5,RAC3,0.037232990149384304,8
PSMB5,MRPL4,0.037604754093115145,9
PSMB5,RGPD6,0.03855492279233874,10
PSMB5,SF3A2,0.03894027375580322,11
PSMB5,EIF2B5,0.03961699854776646,12
PSMB5,MRPL36,0.03993240389097197,13
PSMB5,CSE1L,0.041642473048822515,14
PSMB5,NUP107,0.04326511508447162,15
ANKRD11,ZBTB17,0.013628732518337072,1
ANKRD11,GPS1,0.015000917517517753,2
ANKRD11,YEATS2,0.01549552713445912,3
ANKRD11,CSNK2B,0.016773156828813085,4
ANKRD11,SLC39A7,0.019284544627520384,5
ANKRD11,SPCS3,0.019901367451281682,6
ANKRD11,SETDB1,0.021174092143545153,7
ANKRD11,GRB2,0.027387798675256536,8
ANKRD11,HSP90B1,0.027746149871757497,9
ANKRD11,MRPS27,0.028573810998149818,10
ANKRD11,EXOSC3,0.028617082082981082,11
ANKRD11,HSPA8,0.02992272041041777,12
ANKRD11,WTAP,0.03136258780886714,13
ANKRD11,E4F1,0.03395997943053508,14
ANKRD11,ALG14,0.03407580814878042,15
PTMA,SMG5,0.1239324071934178,1
PTMA,MRPL19,0.33526001349928125,2
PTMA,OGFOD1,0.47706238578140303,3
PTMA,INTS8,0.5086333397070217,4
PTMA,CYS1,0.601988529596101,5
PTMA,C17orf58,0.672766615139741,6
PTMA,EIF2B2,0.684134248181768,7
PTMA,RPL41,0.8817364891612623,8
PTMA,YEATS4,0.9681056915531546,9
PTMA,DLD,0.9871502678610516,10
PTMA,MRPL39,0.9992579041441088,11
PTMA,UXS1,1.0089833124297947,12
PTMA,MRPL16,1.0191109931833422,13
PTMA,MRPL24,1.0468971729305199,14
PTMA,GFM1,1.0808086965395134,15
NFRKB,MRPL36,0.03707978630084474,1
NFRKB,CLASRP,0.038012057972698354,2
NFRKB,ACTB,0.038346129336948254,3
NFRKB,MRPL35,0.03872608091851615,4
NFRKB,ISCA2,0.039274802248581486,5
NFRKB,INO80B,0.03960473626758132,6
NFRKB,JAZF1,0.040765695729987894,7
NFRKB,MED19,0.0410225285775081,8
NFRKB,HSD17B10,0.04236284755336861,9
NFRKB,MRPL54,0.0424250437555177,10
NFRKB,TTI1,0.04274088357011563,11
NFRKB,SIN3A,0.04344839779824916,12
NFRKB,MVK,0.043627605666293534,13
NFRKB,TFAM,0.04397633925337918,14
NFRKB,GRSF1,0.044020491319433974,15
HSP90B1,WTAP,0.009791851859113021,1
HSP90B1,MRPL38,0.010502053969187686,2
HSP90B1,HSPA8,0.011931010747768034,3
HSP90B1,GPS1,0.012671172595729918,4
HSP90B1,MRPS28,0.012756341126924697,5
HSP90B1,TARS2,0.013130441848670182,6
HSP90B1,SETDB1,0.013323566956699895,7
HSP90B1,ALG14,0.013850588562247412,8
HSP90B1,GRB2,0.01456681166401741,9
HSP90B1,YEATS2,0.014833020624438698,10
HSP90B1,PHAX,0.015128941546631136,11
HSP90B1,EIF2B1,0.015565887694338754,12
HSP90B1,E4F1,0.015618381580073892,13
HSP90B1,MVK,0.016071200643389627,14
HSP90B1,ZBTB17,0.01611798798199282,15
TFAM,CLASRP,0.018432805299892663,1
TFAM,MRPS28,0.018686956783101394,2
TFAM,MVK,0.019091323692628004,3
TFAM,ACTB,0.019385129913835564,4
TFAM,TARS2,0.01943460949672393,5
TFAM,MED19,0.01968175780274506,6
TFAM,JAZF1,0.01991472264024885,7
TFAM,HSD17B10,0.02005367947066561,8
TFAM,CPSF3,0.020310849114090868,9
